image_path,clip_id,video_id,track_id,batch_id,activity_label,apparent_age_group,split
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0014/frame_01.jpg,GX020055_tr0014,GX020055,14,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0014/frame_02.jpg,GX020055_tr0014,GX020055,14,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0014/frame_03.jpg,GX020055_tr0014,GX020055,14,GX020055_batch01,walking,adult,val
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0014/frame_04.jpg,GX020055_tr0014,GX020055,14,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0014/frame_05.jpg,GX020055_tr0014,GX020055,14,GX020055_batch01,walking,adult,val
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0103/frame_01.jpg,GX020055_tr0103,GX020055,103,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0103/frame_02.jpg,GX020055_tr0103,GX020055,103,GX020055_batch01,walking,adult,val
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0103/frame_03.jpg,GX020055_tr0103,GX020055,103,GX020055_batch01,walking,adult,val
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0103/frame_04.jpg,GX020055_tr0103,GX020055,103,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0103/frame_05.jpg,GX020055_tr0103,GX020055,103,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0241/frame_01.jpg,GX020055_tr0241,GX020055,241,GX020055_batch01,running,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0241/frame_02.jpg,GX020055_tr0241,GX020055,241,GX020055_batch01,running,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0241/frame_03.jpg,GX020055_tr0241,GX020055,241,GX020055_batch01,running,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0241/frame_04.jpg,GX020055_tr0241,GX020055,241,GX020055_batch01,running,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0241/frame_05.jpg,GX020055_tr0241,GX020055,241,GX020055_batch01,running,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0269/frame_01.jpg,GX020055_tr0269,GX020055,269,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0269/frame_02.jpg,GX020055_tr0269,GX020055,269,GX020055_batch01,walking,adult,val
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0269/frame_03.jpg,GX020055_tr0269,GX020055,269,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0269/frame_04.jpg,GX020055_tr0269,GX020055,269,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0269/frame_05.jpg,GX020055_tr0269,GX020055,269,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0280/frame_01.jpg,GX020055_tr0280,GX020055,280,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0280/frame_02.jpg,GX020055_tr0280,GX020055,280,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0280/frame_03.jpg,GX020055_tr0280,GX020055,280,GX020055_batch01,walking,adult,train
/orange/ufdatastudios/chenz1/depotData/d-park-social-performance-evaluation/annotations/labeling/clips/GX020055_batch01/clips/GX020055_tr0280/frame_04.jpg,GX020055_tr0280,GX020055,280,GX020055_batch01,walking,adult,train
